id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3zKST4nk4QJE77oLjUZ0Ng,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64E-05,0.0828,0.458,125.014,audio_features,spotify:track:3zKST4nk4QJE77oLjUZ0Ng,https://api.spotify.com/v1/tracks/3zKST4nk4QJE77oLjUZ0Ng,https://api.spotify.com/v1/audio-analysis/3zKST4nk4QJE77oLjUZ0Ng,255093,4
7KwZNVEaqikRSBSpyhXK2j,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,audio_features,spotify:track:7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,229827,4
2g8HN35AnVGIk7B8yMucww,0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,audio_features,spotify:track:2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/tracks/2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/audio-analysis/2g8HN35AnVGIk7B8yMucww,252747,4
5ByAIlEEnxYdvpnezg7HTX,0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,audio_features,spotify:track:5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,302760,4
4XHQyvbrBsQaaBUW1VvmsL,0.851,0.849,1,-3.383,0,0.0828,0.497,2.05E-06,0.116,0.844,120.014,audio_features,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,https://api.spotify.com/v1/tracks/4XHQyvbrBsQaaBUW1VvmsL,https://api.spotify.com/v1/audio-analysis/4XHQyvbrBsQaaBUW1VvmsL,298773,4
20LxTsa6936zOlzTWqoPVt,0.92,0.891,3,-2.398,0,0.253,0.0313,0,0.083,0.311,95.295,audio_features,spotify:track:20LxTsa6936zOlzTWqoPVt,https://api.spotify.com/v1/tracks/20LxTsa6936zOlzTWqoPVt,https://api.spotify.com/v1/audio-analysis/20LxTsa6936zOlzTWqoPVt,161600,4
5RsUlxLto4NZbhJpqJbHfN,0.727,0.834,2,-5.851,1,0.0496,0.165,0,0.105,0.816,131.7,audio_features,spotify:track:5RsUlxLto4NZbhJpqJbHfN,https://api.spotify.com/v1/tracks/5RsUlxLto4NZbhJpqJbHfN,https://api.spotify.com/v1/audio-analysis/5RsUlxLto4NZbhJpqJbHfN,194120,4
36xEjbl8DtevPJgw6i9IuY,0.499,0.802,7,-4.537,1,0.0547,0.0136,1.56E-06,0.128,0.504,107.705,audio_features,spotify:track:36xEjbl8DtevPJgw6i9IuY,https://api.spotify.com/v1/tracks/36xEjbl8DtevPJgw6i9IuY,https://api.spotify.com/v1/audio-analysis/36xEjbl8DtevPJgw6i9IuY,232333,4
6xMHglHoafdDFGXS6qfwSH,0.705,0.806,0,-4.83,1,0.0814,0.229,0,0.0676,0.763,117.945,audio_features,spotify:track:6xMHglHoafdDFGXS6qfwSH,https://api.spotify.com/v1/tracks/6xMHglHoafdDFGXS6qfwSH,https://api.spotify.com/v1/audio-analysis/6xMHglHoafdDFGXS6qfwSH,268693,4
7vidktgNZFQylTgH1GEnMs,0.562,0.609,3,-7.063,0,0.0271,0.0264,0,0.17,0.512,130.753,audio_features,spotify:track:7vidktgNZFQylTgH1GEnMs,https://api.spotify.com/v1/tracks/7vidktgNZFQylTgH1GEnMs,https://api.spotify.com/v1/audio-analysis/7vidktgNZFQylTgH1GEnMs,200213,4
